invoice_no,invoice_date,customer_id,customer_name,gstin,taxable_value,tax_amount,total,voucher_id
CA/24-25/0211,2024-07-16,C-012,Customer 012 Retail,07ZZ1111A1Z7,155765.00,28037.70,183802.70,SAL-00511
CA/24-25/0212,2024-07-06,C-021,Customer 021 Retail,27ZZ1120A1Z0,66903.00,12042.54,78945.54,SAL-00512
CA/24-25/0213,2024-05-20,C-017,Customer 017 Retail,33ZZ1116A1Z2,91747.00,16514.46,108261.46,SAL-00513
CA/24-25/0214,2024-09-19,C-012,Customer 012 Retail,07ZZ1111A1Z7,349404.00,62892.72,412296.72,SAL-00514
CA/24-25/0215,2024-08-06,C-023,Customer 023 Retail,33ZZ1122A1Z4,65112.00,11720.16,76832.16,SAL-00515
CA/24-25/0216,2024-07-23,C-028,Customer 028 Retail,29ZZ1127A1Z9,187422.00,33735.96,221157.96,SAL-00516
CA/24-25/0217,2024-08-30,C-003,Customer 003 Retail,27ZZ1102A1Z4,331862.00,59735.16,391597.16,SAL-00517
CA/24-25/0218,2024-11-21,C-007,Customer 007 Retail,24ZZ1106A1Z2,48924.00,8806.32,57730.32,SAL-00518
CA/24-25/0219,2024-07-10,C-026,Customer 026 Retail,36ZZ1125A1Z5,65770.00,11838.60,77608.60,SAL-00519
CA/24-25/0220,2024-07-20,C-025,Customer 025 Retail,24ZZ1124A1Z8,252359.00,45424.62,297783.62,SAL-00520
CA/24-25/0221,2024-06-06,C-014,Customer 014 Retail,36ZZ1113A1Z1,208364.00,37505.52,245869.52,SAL-00521
CA/24-25/0222,2024-09-13,C-003,Customer 003 Retail,27ZZ1102A1Z4,225363.00,40565.34,265928.34,SAL-00522
CA/24-25/0223,2024-12-01,C-003,Customer 003 Retail,27ZZ1102A1Z4,346007.00,62281.26,408288.26,SAL-00523
CA/24-25/0224,2024-08-30,C-001,Customer 001 Retail,24ZZ1100A1Z0,96502.00,17370.36,113872.36,SAL-00524
CA/24-25/0225,2025-01-09,C-029,Customer 029 Retail,33ZZ1128A1Z6,88642.00,15955.56,104597.56,SAL-00525
CA/24-25/0226,2024-06-17,C-014,Customer 014 Retail,36ZZ1113A1Z1,230279.00,41450.22,271729.22,SAL-00526
CA/24-25/0227,2025-02-03,C-026,Customer 026 Retail,36ZZ1125A1Z5,262838.00,47310.84,310148.84,SAL-00527
CA/24-25/0228,2024-06-01,C-026,Customer 026 Retail,36ZZ1125A1Z5,24078.00,4334.04,28412.04,SAL-00528
CA/24-25/0229,2024-06-30,C-015,Customer 015 Retail,27ZZ1114A1Z8,133376.00,24007.68,157383.68,SAL-00529
CA/24-25/0230,2024-05-26,C-006,Customer 006 Retail,07ZZ1105A1Z5,353417.00,63615.06,417032.06,SAL-00530
CA/24-25/0231,2025-01-23,C-013,Customer 013 Retail,24ZZ1112A1Z4,136046.00,24488.28,160534.28,SAL-00531
CA/24-25/0232,2024-11-02,C-012,Customer 012 Retail,07ZZ1111A1Z7,348610.00,62749.80,411359.80,SAL-00532
CA/24-25/0233,2025-01-04,C-018,Customer 018 Retail,07ZZ1117A1Z9,3855.00,693.90,4548.90,SAL-00533
CA/24-25/0234,2024-05-23,C-007,Customer 007 Retail,24ZZ1106A1Z2,281886.00,50739.48,332625.48,SAL-00534
CA/24-25/0235,2024-07-09,C-001,Customer 001 Retail,24ZZ1100A1Z0,150460.00,27082.80,177542.80,SAL-00535
CA/24-25/0236,2024-11-05,C-024,Customer 024 Retail,07ZZ1123A1Z1,63002.00,11340.36,74342.36,SAL-00536
CA/24-25/0237,2024-10-30,C-004,Customer 004 Retail,29ZZ1103A1Z1,366194.00,65914.92,432108.92,SAL-00537
CA/24-25/0238,2024-07-17,C-020,Customer 020 Retail,36ZZ1119A1Z3,304554.00,54819.72,359373.72,SAL-00538
CA/24-25/0239,2025-01-14,C-005,Customer 005 Retail,33ZZ1104A1Z8,311267.00,56028.06,367295.06,SAL-00539
CA/24-25/0240,2024-06-26,C-023,Customer 023 Retail,33ZZ1122A1Z4,275820.00,49647.60,325467.60,SAL-00540
CA/24-25/0241,2024-06-28,C-015,Customer 015 Retail,27ZZ1114A1Z8,192100.00,34578.00,226678.00,SAL-00541
CA/24-25/0242,2024-08-08,C-025,Customer 025 Retail,24ZZ1124A1Z8,147544.00,26557.92,174101.92,SAL-00542
CA/24-25/0243,2024-10-19,C-014,Customer 014 Retail,36ZZ1113A1Z1,66381.00,11948.58,78329.58,SAL-00543
CA/24-25/0244,2024-12-18,C-029,Customer 029 Retail,33ZZ1128A1Z6,77816.00,14006.88,91822.88,SAL-00544
CA/24-25/0245,2024-04-01,C-014,Customer 014 Retail,36ZZ1113A1Z1,91958.00,16552.44,108510.44,SAL-00545
CA/24-25/0246,2024-12-24,C-010,Customer 010 Retail,29ZZ1109A1Z3,111471.00,20064.78,131535.78,SAL-00546
CA/24-25/0247,2024-08-03,C-006,Customer 006 Retail,07ZZ1105A1Z5,222378.00,40028.04,262406.04,SAL-00547
CA/24-25/0248,2024-04-09,C-010,Customer 010 Retail,29ZZ1109A1Z3,336901.00,60642.18,397543.18,SAL-00548
CA/24-25/0249,2024-07-31,C-012,Customer 012 Retail,07ZZ1111A1Z7,53657.00,9658.26,63315.26,SAL-00549
CA/24-25/0250,2024-04-14,C-028,Customer 028 Retail,29ZZ1127A1Z9,29514.00,5312.52,34826.52,SAL-00550
CA/24-25/0251,2024-12-19,C-022,Customer 022 Retail,29ZZ1121A1Z7,54020.00,9723.60,63743.60,SAL-00551
CA/24-25/0252,2024-04-01,C-021,Customer 021 Retail,27ZZ1120A1Z0,328742.00,59173.56,387915.56,SAL-00552
CA/24-25/0253,2024-12-14,C-009,Customer 009 Retail,27ZZ1108A1Z6,211430.00,38057.40,249487.40,SAL-00553
CA/24-25/0254,2024-06-01,C-021,Customer 021 Retail,27ZZ1120A1Z0,121758.00,21916.44,143674.44,SAL-00554
CA/24-25/0255,2024-04-23,C-016,Customer 016 Retail,29ZZ1115A1Z5,33861.00,6094.98,39955.98,SAL-00555
CA/24-25/0256,2024-12-28,C-005,Customer 005 Retail,33ZZ1104A1Z8,270381.00,48668.58,319049.58,SAL-00556
CA/24-25/0257,2025-03-15,C-006,Customer 006 Retail,07ZZ1105A1Z5,48148.00,8666.64,56814.64,SAL-00557
CA/24-25/0258,2024-11-20,C-004,Customer 004 Retail,29ZZ1103A1Z1,16884.00,3039.12,19923.12,SAL-00558
CA/24-25/0259,2024-07-23,C-014,Customer 014 Retail,36ZZ1113A1Z1,188216.00,33878.88,222094.88,SAL-00559
CA/24-25/0260,2025-02-03,C-027,Customer 027 Retail,27ZZ1126A1Z2,341044.00,61387.92,402431.92,SAL-00560
CA/24-25/0261,2024-04-12,C-004,Customer 004 Retail,29ZZ1103A1Z1,121326.00,21838.68,143164.68,SAL-00561
CA/24-25/0262,2024-07-07,C-028,Customer 028 Retail,29ZZ1127A1Z9,15919.00,2865.42,18784.42,SAL-00562
CA/24-25/0263,2025-02-19,C-008,Customer 008 Retail,36ZZ1107A1Z9,83721.00,15069.78,98790.78,SAL-00563
CA/24-25/0264,2024-10-20,C-021,Customer 021 Retail,27ZZ1120A1Z0,34356.00,6184.08,40540.08,SAL-00564
CA/24-25/0265,2025-03-27,C-008,Customer 008 Retail,36ZZ1107A1Z9,64808.00,11665.44,76473.44,SAL-00565
CA/24-25/0266,2024-08-04,C-017,Customer 017 Retail,33ZZ1116A1Z2,274011.00,49321.98,323332.98,SAL-00566
CA/24-25/0267,2024-04-07,C-026,Customer 026 Retail,36ZZ1125A1Z5,293967.00,52914.06,346881.06,SAL-00567
CA/24-25/0268,2024-04-05,C-020,Customer 020 Retail,36ZZ1119A1Z3,22546.00,4058.28,26604.28,SAL-00568
CA/24-25/0269,2025-03-11,C-004,Customer 004 Retail,29ZZ1103A1Z1,246316.00,44336.88,290652.88,SAL-00569
CA/24-25/0270,2025-01-03,C-015,Customer 015 Retail,27ZZ1114A1Z8,93537.00,16836.66,110373.66,SAL-00570
CA/24-25/0271,2024-07-09,C-008,Customer 008 Retail,36ZZ1107A1Z9,30473.00,5485.14,35958.14,SAL-00571
CA/24-25/0272,2024-06-21,C-025,Customer 025 Retail,24ZZ1124A1Z8,8486.00,1527.48,10013.48,SAL-00572
CA/24-25/0273,2024-07-01,C-010,Customer 010 Retail,29ZZ1109A1Z3,244397.00,43991.46,288388.46,SAL-00573
CA/24-25/0274,2024-10-10,C-001,Customer 001 Retail,24ZZ1100A1Z0,209669.00,37740.42,247409.42,SAL-00574
CA/24-25/0275,2024-12-07,C-014,Customer 014 Retail,36ZZ1113A1Z1,54872.00,9876.96,64748.96,SAL-00575
CA/24-25/0276,2024-04-22,C-018,Customer 018 Retail,07ZZ1117A1Z9,162098.00,29177.64,191275.64,SAL-00576
CA/24-25/0277,2024-07-20,C-011,Customer 011 Retail,33ZZ1110A1Z0,212597.00,38267.46,250864.46,SAL-00577
CA/24-25/0278,2024-10-09,C-025,Customer 025 Retail,24ZZ1124A1Z8,288845.00,51992.10,340837.10,SAL-00578
CA/24-25/0279,2025-01-31,C-024,Customer 024 Retail,07ZZ1123A1Z1,333247.00,59984.46,393231.46,SAL-00579
CA/24-25/0280,2024-10-08,C-030,Customer 030 Retail,07ZZ1129A1Z3,133819.00,24087.42,157906.42,SAL-00580
CA/24-25/0281,2024-10-01,C-029,Customer 029 Retail,33ZZ1128A1Z6,180273.00,32449.14,212722.14,SAL-00581
CA/24-25/0282,2025-01-28,C-006,Customer 006 Retail,07ZZ1105A1Z5,306324.00,55138.32,361462.32,SAL-00582
CA/24-25/0283,2024-04-29,C-003,Customer 003 Retail,27ZZ1102A1Z4,175558.00,31600.44,207158.44,SAL-00583
CA/24-25/0284,2024-11-29,C-011,Customer 011 Retail,33ZZ1110A1Z0,3978.00,716.04,4694.04,SAL-00584
CA/24-25/0285,2025-03-13,C-025,Customer 025 Retail,24ZZ1124A1Z8,125507.00,22591.26,148098.26,SAL-00585
CA/24-25/0286,2024-11-02,C-002,Customer 002 Retail,36ZZ1101A1Z7,258708.00,46567.44,305275.44,SAL-00586
CA/24-25/0287,2024-08-18,C-003,Customer 003 Retail,27ZZ1102A1Z4,190874.00,34357.32,225231.32,SAL-00587
CA/24-25/0288,2024-05-29,C-015,Customer 015 Retail,27ZZ1114A1Z8,73754.00,13275.72,87029.72,SAL-00588
CA/24-25/0289,2024-12-15,C-025,Customer 025 Retail,24ZZ1124A1Z8,375629.00,67613.22,443242.22,SAL-00589
CA/24-25/0290,2024-12-30,C-030,Customer 030 Retail,07ZZ1129A1Z3,221241.00,39823.38,261064.38,SAL-00590
CA/24-25/0291,2024-08-16,C-013,Customer 013 Retail,24ZZ1112A1Z4,106817.00,19227.06,126044.06,SAL-00591
CA/24-25/0292,2024-12-04,C-011,Customer 011 Retail,33ZZ1110A1Z0,198017.00,35643.06,233660.06,SAL-00592
CA/24-25/0293,2024-07-15,C-004,Customer 004 Retail,29ZZ1103A1Z1,301336.00,54240.48,355576.48,SAL-00593
CA/24-25/0294,2024-06-23,C-022,Customer 022 Retail,29ZZ1121A1Z7,101304.00,18234.72,119538.72,SAL-00594
CA/24-25/0295,2024-11-17,C-025,Customer 025 Retail,24ZZ1124A1Z8,165723.00,29830.14,195553.14,SAL-00595
CA/24-25/0296,2025-01-26,C-023,Customer 023 Retail,33ZZ1122A1Z4,358931.00,64607.58,423538.58,SAL-00596
CA/24-25/0297,2024-12-07,C-001,Customer 001 Retail,24ZZ1100A1Z0,221814.00,39926.52,261740.52,SAL-00597
CA/24-25/0298,2025-01-06,C-018,Customer 018 Retail,07ZZ1117A1Z9,258716.00,46568.88,305284.88,SAL-00598
CA/24-25/0299,2024-08-13,C-020,Customer 020 Retail,36ZZ1119A1Z3,370717.00,66729.06,437446.06,SAL-00599
CA/24-25/0300,2024-09-27,C-027,Customer 027 Retail,27ZZ1126A1Z2,26191.00,4714.38,30905.38,SAL-00600
CA/24-25/0301,2024-12-11,C-022,Customer 022 Retail,29ZZ1121A1Z7,380051.00,68409.18,448460.18,SAL-00601
CA/24-25/0302,2025-03-31,C-016,Customer 016 Retail,29ZZ1115A1Z5,93197.00,16775.46,109972.46,SAL-00602
CA/24-25/0303,2025-03-24,C-023,Customer 023 Retail,33ZZ1122A1Z4,348482.00,62726.76,411208.76,SAL-00603
CA/24-25/0304,2025-03-16,C-012,Customer 012 Retail,07ZZ1111A1Z7,38831.00,6989.58,45820.58,SAL-00604
CA/24-25/0305,2025-01-15,C-003,Customer 003 Retail,27ZZ1102A1Z4,38482.00,6926.76,45408.76,SAL-00605
CA/24-25/0306,2025-02-13,C-013,Customer 013 Retail,24ZZ1112A1Z4,151903.00,27342.54,179245.54,SAL-00606
CA/24-25/0307,2024-06-28,C-011,Customer 011 Retail,33ZZ1110A1Z0,192234.00,34602.12,226836.12,SAL-00607
CA/24-25/0308,2025-02-18,C-016,Customer 016 Retail,29ZZ1115A1Z5,176197.00,31715.46,207912.46,SAL-00608
CA/24-25/0309,2024-11-15,C-026,Customer 026 Retail,36ZZ1125A1Z5,197395.00,35531.10,232926.10,SAL-00609
CA/24-25/0310,2024-10-22,C-009,Customer 009 Retail,27ZZ1108A1Z6,23172.00,4170.96,27342.96,SAL-00610
CA/24-25/0311,2024-06-21,C-006,Customer 006 Retail,07ZZ1105A1Z5,131126.00,23602.68,154728.68,SAL-00611
CA/24-25/0312,2024-09-24,C-024,Customer 024 Retail,07ZZ1123A1Z1,151347.00,27242.46,178589.46,SAL-00612
CA/24-25/0313,2024-10-20,C-028,Customer 028 Retail,29ZZ1127A1Z9,125005.00,22500.90,147505.90,SAL-00613
CA/24-25/0314,2025-01-03,C-004,Customer 004 Retail,29ZZ1103A1Z1,165307.00,29755.26,195062.26,SAL-00614
CA/24-25/0315,2024-04-03,C-027,Customer 027 Retail,27ZZ1126A1Z2,243675.00,43861.50,287536.50,SAL-00615
CA/24-25/0316,2024-09-08,C-016,Customer 016 Retail,29ZZ1115A1Z5,98840.00,17791.20,116631.20,SAL-00616
CA/24-25/0317,2024-10-04,C-011,Customer 011 Retail,33ZZ1110A1Z0,131852.00,23733.36,155585.36,SAL-00617
CA/24-25/0318,2024-08-13,C-021,Customer 021 Retail,27ZZ1120A1Z0,326004.00,58680.72,384684.72,SAL-00618
CA/24-25/0319,2024-08-24,C-028,Customer 028 Retail,29ZZ1127A1Z9,284150.00,51147.00,335297.00,SAL-00619
CA/24-25/0320,2024-04-05,C-014,Customer 014 Retail,36ZZ1113A1Z1,89510.00,16111.80,105621.80,SAL-00620
CA/24-25/0321,2024-07-25,C-008,Customer 008 Retail,36ZZ1107A1Z9,357130.00,64283.40,421413.40,SAL-00621
CA/24-25/0322,2024-07-16,C-030,Customer 030 Retail,07ZZ1129A1Z3,290204.00,52236.72,342440.72,SAL-00622
CA/24-25/0323,2024-05-27,C-017,Customer 017 Retail,33ZZ1116A1Z2,56248.00,10124.64,66372.64,SAL-00623
CA/24-25/0324,2024-07-24,C-018,Customer 018 Retail,07ZZ1117A1Z9,55775.00,10039.50,65814.50,SAL-00624
CA/24-25/0325,2024-10-23,C-010,Customer 010 Retail,29ZZ1109A1Z3,293088.00,52755.84,345843.84,SAL-00625
CA/24-25/0326,2024-07-09,C-003,Customer 003 Retail,27ZZ1102A1Z4,352418.00,63435.24,415853.24,SAL-00626
CA/24-25/0327,2024-06-13,C-030,Customer 030 Retail,07ZZ1129A1Z3,266677.00,48001.86,314678.86,SAL-00627
CA/24-25/0328,2024-10-27,C-024,Customer 024 Retail,07ZZ1123A1Z1,230825.00,41548.50,272373.50,SAL-00628
CA/24-25/0329,2025-02-20,C-001,Customer 001 Retail,24ZZ1100A1Z0,134626.00,24232.68,158858.68,SAL-00629
CA/24-25/0330,2025-03-09,C-023,Customer 023 Retail,33ZZ1122A1Z4,10752.00,1935.36,12687.36,SAL-00630
CA/24-25/0331,2024-07-16,C-003,Customer 003 Retail,27ZZ1102A1Z4,83368.00,15006.24,98374.24,SAL-00631
CA/24-25/0332,2024-08-09,C-005,Customer 005 Retail,33ZZ1104A1Z8,129826.00,23368.68,153194.68,SAL-00632
CA/24-25/0333,2024-06-17,C-013,Customer 013 Retail,24ZZ1112A1Z4,349817.00,62967.06,412784.06,SAL-00633
CA/24-25/0334,2025-02-08,C-020,Customer 020 Retail,36ZZ1119A1Z3,143319.00,25797.42,169116.42,SAL-00634
CA/24-25/0335,2024-10-01,C-019,Customer 019 Retail,24ZZ1118A1Z6,221766.00,39917.88,261683.88,SAL-00635
CA/24-25/0336,2025-01-04,C-004,Customer 004 Retail,29ZZ1103A1Z1,180967.00,32574.06,213541.06,SAL-00636
CA/24-25/0337,2024-09-17,C-016,Customer 016 Retail,29ZZ1115A1Z5,259376.00,46687.68,306063.68,SAL-00637
CA/24-25/0338,2024-08-17,C-030,Customer 030 Retail,07ZZ1129A1Z3,251194.00,45214.92,296408.92,SAL-00638
CA/24-25/0339,2025-03-24,C-025,Customer 025 Retail,24ZZ1124A1Z8,149552.00,26919.36,176471.36,SAL-00639
CA/24-25/0340,2025-03-04,C-013,Customer 013 Retail,24ZZ1112A1Z4,58482.00,10526.76,69008.76,SAL-00640
CA/24-25/0341,2024-05-12,C-007,Customer 007 Retail,24ZZ1106A1Z2,252151.00,45387.18,297538.18,SAL-00641
CA/24-25/0342,2024-12-29,C-030,Customer 030 Retail,07ZZ1129A1Z3,294963.00,53093.34,348056.34,SAL-00642
CA/24-25/0343,2024-05-15,C-011,Customer 011 Retail,33ZZ1110A1Z0,102742.00,18493.56,121235.56,SAL-00643
CA/24-25/0344,2024-11-16,C-021,Customer 021 Retail,27ZZ1120A1Z0,161606.00,29089.08,190695.08,SAL-00644
CA/24-25/0345,2024-08-08,C-005,Customer 005 Retail,33ZZ1104A1Z8,280018.00,50403.24,330421.24,SAL-00645
CA/24-25/0346,2025-03-03,C-007,Customer 007 Retail,24ZZ1106A1Z2,38088.00,6855.84,44943.84,SAL-00646
CA/24-25/0347,2024-04-12,C-002,Customer 002 Retail,36ZZ1101A1Z7,236935.00,42648.30,279583.30,SAL-00647
CA/24-25/0348,2024-09-25,C-016,Customer 016 Retail,29ZZ1115A1Z5,353861.00,63694.98,417555.98,SAL-00648
CA/24-25/0349,2025-01-12,C-009,Customer 009 Retail,27ZZ1108A1Z6,125316.00,22556.88,147872.88,SAL-00649
CA/24-25/0350,2024-06-01,C-020,Customer 020 Retail,36ZZ1119A1Z3,148565.00,26741.70,175306.70,SAL-00650
CA/24-25/0351,2024-09-02,C-006,Customer 006 Retail,07ZZ1105A1Z5,374915.00,67484.70,442399.70,SAL-00651
CA/24-25/0352,2024-04-21,C-015,Customer 015 Retail,27ZZ1114A1Z8,370489.00,66688.02,437177.02,SAL-00652
CA/24-25/0353,2025-02-02,C-022,Customer 022 Retail,29ZZ1121A1Z7,357415.00,64334.70,421749.70,SAL-00653
CA/24-25/0354,2024-06-05,C-012,Customer 012 Retail,07ZZ1111A1Z7,347310.00,62515.80,409825.80,SAL-00654
CA/24-25/0355,2024-04-06,C-023,Customer 023 Retail,33ZZ1122A1Z4,45795.00,8243.10,54038.10,SAL-00655
CA/24-25/0356,2024-04-22,C-010,Customer 010 Retail,29ZZ1109A1Z3,198990.00,35818.20,234808.20,SAL-00656
CA/24-25/0357,2024-11-19,C-018,Customer 018 Retail,07ZZ1117A1Z9,328883.00,59198.94,388081.94,SAL-00657
CA/24-25/0358,2025-01-06,C-022,Customer 022 Retail,29ZZ1121A1Z7,200050.00,36009.00,236059.00,SAL-00658
CA/24-25/0359,2025-03-15,C-023,Customer 023 Retail,33ZZ1122A1Z4,20080.00,3614.40,23694.40,SAL-00659
CA/24-25/0360,2025-01-06,C-008,Customer 008 Retail,36ZZ1107A1Z9,170519.00,30693.42,201212.42,SAL-00660
CA/24-25/0361,2024-10-23,C-005,Customer 005 Retail,33ZZ1104A1Z8,65127.00,11722.86,76849.86,SAL-00661
CA/24-25/0362,2025-02-17,C-028,Customer 028 Retail,29ZZ1127A1Z9,218153.00,39267.54,257420.54,SAL-00662
CA/24-25/0363,2024-05-03,C-011,Customer 011 Retail,33ZZ1110A1Z0,340189.00,61234.02,401423.02,SAL-00663
CA/24-25/0364,2024-07-18,C-014,Customer 014 Retail,36ZZ1113A1Z1,343556.00,61840.08,405396.08,SAL-00664
CA/24-25/0365,2025-02-12,C-028,Customer 028 Retail,29ZZ1127A1Z9,63418.00,11415.24,74833.24,SAL-00665
CA/24-25/0366,2024-10-25,C-001,Customer 001 Retail,24ZZ1100A1Z0,280562.00,50501.16,331063.16,SAL-00666
CA/24-25/0367,2024-04-23,C-008,Customer 008 Retail,36ZZ1107A1Z9,287242.00,51703.56,338945.56,SAL-00667
CA/24-25/0368,2025-01-16,C-030,Customer 030 Retail,07ZZ1129A1Z3,367541.00,66157.38,433698.38,SAL-00668
CA/24-25/0369,2024-05-12,C-019,Customer 019 Retail,24ZZ1118A1Z6,268794.00,48382.92,317176.92,SAL-00669
CA/24-25/0370,2025-01-24,C-022,Customer 022 Retail,29ZZ1121A1Z7,161916.00,29144.88,191060.88,SAL-00670
CA/24-25/0371,2024-05-15,C-006,Customer 006 Retail,07ZZ1105A1Z5,90194.00,16234.92,106428.92,SAL-00671
CA/24-25/0372,2024-12-02,C-007,Customer 007 Retail,24ZZ1106A1Z2,81364.00,14645.52,96009.52,SAL-00672
CA/24-25/0373,2024-04-29,C-023,Customer 023 Retail,33ZZ1122A1Z4,316412.00,56954.16,373366.16,SAL-00673
CA/24-25/0374,2024-06-03,C-010,Customer 010 Retail,29ZZ1109A1Z3,125836.00,22650.48,148486.48,SAL-00674
CA/24-25/0375,2024-08-15,C-010,Customer 010 Retail,29ZZ1109A1Z3,67301.00,12114.18,79415.18,SAL-00675
CA/24-25/0376,2025-01-20,C-024,Customer 024 Retail,07ZZ1123A1Z1,285616.00,51410.88,337026.88,SAL-00676
CA/24-25/0377,2025-01-28,C-030,Customer 030 Retail,07ZZ1129A1Z3,16000.00,2880.00,18880.00,SAL-00677
CA/24-25/0378,2024-10-17,C-012,Customer 012 Retail,07ZZ1111A1Z7,274972.00,49494.96,324466.96,SAL-00678
CA/24-25/0379,2025-01-27,C-023,Customer 023 Retail,33ZZ1122A1Z4,24283.00,4370.94,28653.94,SAL-00679
CA/24-25/0380,2024-07-04,C-026,Customer 026 Retail,36ZZ1125A1Z5,365077.00,65713.86,430790.86,SAL-00680
